wglab
n;25%;50%;75%
100;9.309164;4.918872;3.520445;
200;7.752932;28.900832;23.349033;
300;19.408205;51.503609;61.108281;
400;15.022189;32.566251;42.692661;
500;27.713665;50.320291;58.078784;
600;40.679696;143.254128;127.954391;
700;65.528082;238.436139;342.668585;
800;166.376076;191.117121;264.692788;
900;119.699393;243.674896;378.447369;
1000;182.592702;708.90516;1066.885455;
1100;406.719551;432.703357;669.192389;
1200;365.513841;620.144367;913.556663;
1300;306.460008;1430.291818;2227.662262;
1400;524.990153;1684.182076;1588.273909;
1500;1202.685579;1193.222888;1742.793716;
1600;945.35442;2996.585613;2444.372741;
1700;691.918758;1817.131889;2394.577181;
1800;1089.965921;2334.710806;3222.588151;
1900;1540.886039;2142.610509;6917.961922;
2000;1350.161503;3605.483546;8511.17352;
2100;2252.03809;6577.603095;5477.82894;
2200;1591.645102;4296.985342;10538.495027;
2300;2712.624464;4458.656372;12457.013755;
2400;2953.19887;9086.443338;8195.544192;
2500;2925.335527;10700.127569;9592.358857;
2600;3533.882355;6184.557343;17887.747767;
2700;7054.261974;7441.434761;21364.176568;
2800;4148.959455;8032.556415;12656.028782;
2900;4151.991091;10642.931463;15020.536354;
3000;5360.776294;11240.571842;26356.851716;
wszerz
n;25%;50%;75%
100;8.3803;3.549525;3.059006;
200;6.490499;12.337807;21.912117;
300;14.435448;11.029187;14.804941;
400;6.769757;13.524118;13.577148;
500;14.224187;18.266369;34.91407;
600;25.607898;26.378959;31.772954;
700;25.267059;42.717892;59.48106;
800;38.452903;55.969596;72.604466;
900;41.413977;85.908342;126.359244;
1000;74.350149;113.76014;174.569492;
1100;91.056864;164.283139;266.154937;
1200;106.528089;200.292429;253.829531;
1300;142.947928;258.017115;419.546166;
1400;209.317204;410.35204;710.030744;
1500;229.348072;466.09669;720.725933;
1600;274.389407;633.399919;1066.988091;
1700;356.342809;625.18341;945.518211;
1800;361.255694;708.373586;1283.411187;
1900;530.022353;959.770196;1213.799441;
2000;597.899536;1089.498494;1810.48102;
2100;794.33453;1278.281482;1824.297226;
2200;820.033092;1550.583084;2281.050967;
2300;747.432902;1511.216713;2529.114017;
2400;959.896781;1692.679554;2587.44982;
2500;1031.413297;2174.947965;3318.914564;
2600;1004.709322;2181.666831;3403.640872;
2700;1458.135918;2606.459452;3767.532623;
2800;1396.814665;2965.701325;4452.94292;
2900;1976.709556;3359.768742;4433.771636;
3000;1651.733003;3368.104994;5338.87102;
